bigram,count,percentage,eng_freq,domain_vs_eng,eng_vs_domain
al,85384,0.9500378918069023,1.09,1.1473226588119554,0.8715943961531214
an,122980,1.3683554288205384,1.99,1.454300511465279,0.687615793377155
ar,107106,1.1917309851947682,1.07,0.8978536375179729,1.1137672758829609
as,59701,0.6642721373883148,0.87,1.3097041875345472,0.7635311924003618
at,69447,0.7727124692250766,1.49,1.9282722349417543,0.5185989726342797
be,31839,0.3542614124102872,0.58,1.6372090769182448,0.6107955386384263
ce,35699,0.397210281781301,0.65,1.6364128266898232,0.6110927412020015
ch,56564,0.629367836036794,0.6,0.9533375645286755,1.0489463933946568
co,57872,0.6439214943625159,0.79,1.2268576323610727,0.8150904991930581
de,62506,0.6954823909079246,0.76,1.0927667039964164,0.9151084090893745
ea,48387,0.5383852182008407,0.69,1.2816102238204474,0.7802684321751315
ed,38657,0.4301229127656168,1.17,2.7201526942080343,0.3676264211671939
en,87196,0.9701993817810675,1.45,1.4945381611541813,0.6691030219179775
er,134511,1.49665683107887,2.05,1.3697194690397068,0.7300765029653025
es,97714,1.0872294874920319,1.34,1.2324904865218906,0.8113652891731581
ha,42348,0.4711913782703867,0.93,1.9737203244545198,0.5066573959896631
he,47013,0.5230972009687752,3.07,5.868890130389466,0.17038996774227205
hi,32919,0.3662781945140942,0.76,2.074925593122513,0.4819449927817029
ic,58244,0.6480606081982716,0.7,1.0801458862715472,0.9258008688546738
in,142414,1.5845907467884872,2.43,1.53351898900389,0.6520949575261263
io,38583,0.42929954065850406,0.83,1.9333819894772308,0.5172283622391616
is,51646,0.5746469708640878,1.13,1.966424704720598,0.5085371423575998
it,56456,0.6281661578264134,1.12,1.7829677483349866,0.5608626409164404
le,68808,0.7656025398136576,0.83,1.0841134359376816,0.9224126985706718
li,73877,0.8220035291508774,0.62,0.7542546692475331,1.3258121437917376
ll,34778,0.3869626370427768,0.58,1.4988527172350334,0.6671769604185807
ma,74729,0.8314834350327696,0.57,0.6855217746791741,1.4587428684785433
me,60013,0.6677436522183036,0.79,1.1830887457717494,0.8452451293902576
nd,47426,0.5276925074584717,1.35,2.558308069413402,0.3908833388581272
ne,81684,0.9088692864512674,0.69,0.7591850778610253,1.3172018644221268
ng,56442,0.6280103847250678,0.95,1.5127138389851527,0.6610635628684924
nt,55246,0.6147029112101111,1.04,1.6918742062773775,0.5910604915481837
of,16752,0.1863936424101615,1.17,6.27703812679083,0.15931080547877052
om,38371,0.4269406908381272,0.55,1.2882351385160669,0.7762558015238675
on,97725,1.0873518806430893,1.76,1.6186112622154003,0.6178135685472098
or,94252,1.048709024859273,1.28,1.2205482833255528,0.8193039256713069
ou,39205,0.4362203170182892,0.87,1.9944050427241422,0.501402663239413
ra,85237,0.948402274242773,0.69,0.7275393772657414,1.3744960496272074
re,103109,1.1472577647605862,1.85,1.6125408402758248,0.6201393323030195
ri,62667,0.6972737815733996,0.73,1.0469345317312142,0.9551695637991775
ro,62903,0.6998996709960833,0.73,1.0430066340238144,0.9587666725973744
se,52445,0.5835371642908858,0.93,1.593728826389551,0.6274593164418126
si,44084,0.49050724283724684,0.55,1.1212882338263317,0.891831350613176
st,88048,0.9796792876629595,1.05,1.0717793192349627,0.9330278930123423
te,87898,0.9780102901485418,1.2,1.2269809551980706,0.8150085751237849
th,38874,0.4325373958364743,3.56,8.230502227710037,0.12149926849339167
ti,64577,0.7185256832569842,1.34,1.8649298573795623,0.536213196460436
to,65520,0.729018114297623,1.04,1.4265763492063492,0.7009789560554067
ur,40026,0.4453552967472017,0.54,1.212515050217359,0.8247320310133365
ve,40568,0.4513859410992974,0.83,1.8387812389075133,0.5438384832521655
