letters,count,percentage,eng_freq
a,934509,9.356850625551255,8.167
b,227699,2.27985555044135,1.492
c,387198,3.8768528163048135,2.782
d,325458,3.2586758296502873,4.253
e,962976,9.641878877561206,12.702
f,166133,1.663420753545131,2.228
g,239338,2.396392025136394,2.015
h,256478,2.5680077289144725,6.094
i,734139,7.350629005597136,6.966
j,54969,0.5503817748528125,0.153
k,190263,1.905024425200034,0.772
l,462582,4.631641510214188,4.025
m,339264,3.396909575645629,2.406
n,609680,6.1044727117514,6.749
o,726197,7.271109056973709,7.507
p,290144,2.9050914093924654,1.929
q,21100,0.21126553965679462,0.095
r,640267,6.410727643575209,5.987
s,646953,6.477671785667405,6.327
t,607965,6.087301128788774,9.056
u,322071,3.224763204872204,2.758
v,136310,1.3648154365221647,0.978
w,117703,1.178511270816289,2.36
x,66742,0.6682599359134497,0.15
y,166119,1.6632805773576806,1.974
z,67172,0.6725653473851284,0.074
