letters,count,percentage,eng_freq,eng_vs_domain,domain_vs_eng
a,934509,9.356850625551255,8.167,1.1456900484328707,0.8728364197348555
b,227699,2.27985555044135,1.492,1.5280533179901807,0.6544274262074053
c,387198,3.8768528163048135,2.782,1.3935488196638437,0.7175923698469517
d,325458,3.2586758296502873,4.253,0.7662064024571567,1.305131354675565
e,962976,9.641878877561206,12.702,0.7590835205134,1.317378092101984
f,166133,1.663420753545131,2.228,0.7465981838173837,1.3394085622964733
g,239338,2.396392025136394,2.015,1.1892764392736446,0.8408473984490553
h,256478,2.5680077289144725,6.094,0.4213993647709997,2.3730458173410587
i,734139,7.350629005597136,6.966,1.0552151888597667,0.9476740010542962
j,54969,0.5503817748528125,0.153,3.597266502305964,0.2779888560825192
k,190263,1.905024425200034,0.772,2.4676482191710285,0.40524414794258473
l,462582,4.631641510214188,4.025,1.1507183876308542,0.8690223522532222
m,339264,3.396909575645629,2.406,1.4118493664362546,0.708290858623373
n,609680,6.1044727117514,6.749,0.9045003277154247,1.1055827945643615
o,726197,7.271109056973709,7.507,0.9685772022077673,1.0324422232121588
p,290144,2.9050914093924654,1.929,1.5060090250868146,0.664006644941822
q,21100,0.21126553965679462,0.095,2.223847785860996,0.4496710639810427
r,640267,6.410727643575209,5.987,1.070774618936898,0.9339033465257465
s,646953,6.477671785667405,6.327,1.0238140960435285,0.9767398240212195
t,607965,6.087301128788774,9.056,0.6721843119245555,1.4876872046252663
u,322071,3.224763204872204,2.758,1.1692397407078332,0.855256595533283
v,136310,1.3648154365221647,0.978,1.3955168062598822,0.7165804062798034
w,117703,1.178511270816289,2.36,0.49936918254927504,2.002526457269568
x,66742,0.6682599359134497,0.15,4.455066239422998,0.22446355368433668
y,166119,1.6632805773576806,1.974,0.8425940108194937,1.1868111892077369
z,67172,0.6725653473851284,0.074,9.088720910609844,0.11002648335616029
