,Number of Pixels,Red,Green,Blue,RGB,Country,Color
0,126476,255,255,255,"(255, 255, 255)",al,white
1,44,254,253,253,"(254, 253, 253)",al,white
2,32,253,249,250,"(253, 249, 250)",al,white
3,24,252,245,246,"(252, 245, 246)",al,white
4,12,236,192,200,"(236, 192, 200)",al,silver
5,8,201,80,103,"(201, 80, 103)",al,gray
6,16,248,231,234,"(248, 231, 234)",al,white
7,8,221,145,159,"(221, 145, 159)",al,silver
8,12,246,225,229,"(246, 225, 229)",al,silver
9,12,245,221,225,"(245, 221, 225)",al,silver
10,16,244,219,224,"(244, 219, 224)",al,silver
11,12,243,217,222,"(243, 217, 222)",al,silver
12,8,241,209,215,"(241, 209, 215)",al,silver
13,12,240,207,213,"(240, 207, 213)",al,silver
14,8,239,203,210,"(239, 203, 210)",al,silver
15,42,178,3,36,"(178, 3, 36)",al,maroon
16,8,237,197,205,"(237, 197, 205)",al,silver
17,8,236,193,201,"(236, 193, 201)",al,silver
18,8,235,191,199,"(235, 191, 199)",al,silver
19,12,245,223,227,"(245, 223, 227)",al,silver
20,8,233,183,192,"(233, 183, 192)",al,silver
21,8,212,113,131,"(212, 113, 131)",al,gray
22,12,229,169,180,"(229, 169, 180)",al,silver
23,8,228,167,178,"(228, 167, 178)",al,silver
24,8,227,163,175,"(227, 163, 175)",al,silver
25,8,226,159,171,"(226, 159, 171)",al,silver
26,8,225,157,170,"(225, 157, 170)",al,silver
27,8,224,153,166,"(224, 153, 166)",al,silver
28,12,223,149,163,"(223, 149, 163)",al,silver
29,8,222,147,161,"(222, 147, 161)",al,silver
30,8,221,143,157,"(221, 143, 157)",al,silver
31,4,220,139,154,"(220, 139, 154)",al,silver
32,8,210,107,126,"(210, 107, 126)",al,gray
33,8,207,97,117,"(207, 97, 117)",al,gray
34,12,216,129,145,"(216, 129, 145)",al,silver
35,8,215,125,142,"(215, 125, 142)",al,gray
36,8,214,121,138,"(214, 121, 138)",al,gray
37,12,220,142,157,"(220, 142, 157)",al,silver
38,12,212,115,133,"(212, 115, 133)",al,gray
39,8,211,111,130,"(211, 111, 130)",al,gray
40,12,210,109,128,"(210, 109, 128)",al,gray
41,8,209,105,124,"(209, 105, 124)",al,gray
42,8,208,101,121,"(208, 101, 121)",al,gray
43,16,187,34,63,"(187, 34, 63)",al,red
44,52,178,2,35,"(178, 2, 35)",al,maroon
45,8,204,87,109,"(204, 87, 109)",al,gray
46,8,203,85,107,"(203, 85, 107)",al,gray
47,8,202,81,104,"(202, 81, 104)",al,gray
48,12,201,77,100,"(201, 77, 100)",al,gray
49,8,200,75,98,"(200, 75, 98)",al,purple
50,12,199,71,95,"(199, 71, 95)",al,purple
51,8,198,69,93,"(198, 69, 93)",al,purple
52,8,197,65,90,"(197, 65, 90)",al,purple
53,8,196,61,86,"(196, 61, 86)",al,purple
54,8,195,59,84,"(195, 59, 84)",al,purple
55,8,194,57,83,"(194, 57, 83)",al,purple
56,12,192,49,76,"(192, 49, 76)",al,red
57,12,191,47,74,"(191, 47, 74)",al,red
58,8,216,126,143,"(216, 126, 143)",al,gray
59,12,189,39,67,"(189, 39, 67)",al,red
60,16,188,37,65,"(188, 37, 65)",al,red
61,12,187,33,62,"(187, 33, 62)",al,red
62,12,186,31,60,"(186, 31, 60)",al,red
63,8,185,27,57,"(185, 27, 57)",al,red
64,12,191,45,72,"(191, 45, 72)",al,red
65,20,182,15,46,"(182, 15, 46)",al,red
66,8,216,127,144,"(216, 127, 144)",al,gray
67,24,180,9,41,"(180, 9, 41)",al,red
68,32,179,5,37,"(179, 5, 37)",al,red
69,20,181,13,44,"(181, 13, 44)",al,red
70,64,177,1,34,"(177, 1, 34)",al,maroon
71,8,211,110,129,"(211, 110, 129)",al,gray
72,12,186,29,58,"(186, 29, 58)",al,red
73,8,225,158,171,"(225, 158, 171)",al,silver
74,12,240,205,211,"(240, 205, 211)",al,silver
75,8,201,79,102,"(201, 79, 102)",al,gray
76,8,235,189,198,"(235, 189, 198)",al,silver
77,16,186,28,57,"(186, 28, 57)",al,red
78,4,230,173,184,"(230, 173, 184)",al,silver
79,12,244,220,225,"(244, 220, 225)",al,silver
80,10,196,63,88,"(196, 63, 88)",al,purple
81,12,254,251,252,"(254, 251, 252)",al,white
82,8,200,76,99,"(200, 76, 99)",al,purple
83,8,220,141,156,"(220, 141, 156)",al,silver
84,16,249,235,238,"(249, 235, 238)",al,white
85,12,195,60,85,"(195, 60, 85)",al,purple
86,12,190,43,70,"(190, 43, 70)",al,red
87,8,234,187,196,"(234, 187, 196)",al,silver
88,24,181,14,45,"(181, 14, 45)",al,red
89,8,229,171,182,"(229, 171, 182)",al,silver
90,32,253,248,249,"(253, 248, 249)",al,white
91,8,224,155,168,"(224, 155, 168)",al,silver
92,12,239,202,209,"(239, 202, 209)",al,silver
93,12,200,74,97,"(200, 74, 97)",al,purple
94,12,190,41,69,"(190, 41, 69)",al,red
95,20,248,233,236,"(248, 233, 236)",al,white
96,8,215,123,140,"(215, 123, 140)",al,gray
97,8,223,152,165,"(223, 152, 165)",al,silver
98,12,234,185,194,"(234, 185, 194)",al,silver
99,8,228,168,179,"(228, 168, 179)",al,silver
100,8,214,120,137,"(214, 120, 137)",al,gray
101,8,209,104,124,"(209, 104, 124)",al,gray
102,64,255,254,254,"(255, 254, 254)",al,white
103,32,253,250,251,"(253, 250, 251)",al,white
104,28,252,246,247,"(252, 246, 247)",al,white
105,24,253,247,248,"(253, 247, 248)",al,white
106,20,250,240,242,"(250, 240, 242)",al,white
107,16,249,234,237,"(249, 234, 237)",al,white
108,16,248,232,235,"(248, 232, 235)",al,white
109,12,247,228,231,"(247, 228, 231)",al,white
110,16,246,224,228,"(246, 224, 228)",al,silver
111,16,245,222,226,"(245, 222, 226)",al,silver
112,12,244,218,223,"(244, 218, 223)",al,silver
113,12,243,216,221,"(243, 216, 221)",al,silver
114,20,180,11,43,"(180, 11, 43)",al,red
115,12,241,208,214,"(241, 208, 214)",al,silver
116,12,240,206,212,"(240, 206, 212)",al,silver
117,12,239,204,211,"(239, 204, 211)",al,silver
118,8,238,200,207,"(238, 200, 207)",al,silver
119,12,237,196,204,"(237, 196, 204)",al,silver
120,12,236,194,202,"(236, 194, 202)",al,silver
121,12,235,190,198,"(235, 190, 198)",al,silver
122,8,234,186,195,"(234, 186, 195)",al,silver
123,8,233,184,193,"(233, 184, 193)",al,silver
124,8,230,172,183,"(230, 172, 183)",al,silver
125,8,229,170,181,"(229, 170, 181)",al,silver
126,8,228,166,178,"(228, 166, 178)",al,silver
127,12,227,162,174,"(227, 162, 174)",al,silver
128,8,226,160,172,"(226, 160, 172)",al,silver
129,12,225,156,169,"(225, 156, 169)",al,silver
130,8,224,154,167,"(224, 154, 167)",al,silver
131,8,223,150,164,"(223, 150, 164)",al,silver
132,8,222,146,160,"(222, 146, 160)",al,silver
133,8,221,144,158,"(221, 144, 158)",al,silver
134,8,220,140,155,"(220, 140, 155)",al,silver
135,12,238,199,206,"(238, 199, 206)",al,silver
136,4,217,130,146,"(217, 130, 146)",al,silver
137,8,216,128,144,"(216, 128, 144)",al,silver
138,8,215,124,141,"(215, 124, 141)",al,gray
139,12,214,122,139,"(214, 122, 139)",al,gray
140,12,190,42,70,"(190, 42, 70)",al,red
141,8,212,116,134,"(212, 116, 134)",al,gray
142,8,211,112,131,"(211, 112, 131)",al,gray
143,8,210,108,127,"(210, 108, 127)",al,gray
144,8,209,106,125,"(209, 106, 125)",al,gray
145,12,208,102,122,"(208, 102, 122)",al,gray
146,8,207,98,118,"(207, 98, 118)",al,gray
147,16,247,230,233,"(247, 230, 233)",al,white
148,8,203,84,106,"(203, 84, 106)",al,gray
